7.a-0/2,Sz_7.a-F2
7.b-0/3,Sz_7.b-F3
7.c-0/4,Sz_7.c-F4
8.a-2/2,Sz_8.a-M2
8.b-2/3,Sz_8.b-M3
8.c-1/2,Sz_8.c-E2
9.a-1/3,Sz_9.a-E3
9.b-1/5,Sz_9.b-E5
9.c-1/6,Sz_9.c-E6
0/1 inf,Sz_Inf-E1
2/4 inf,Sz_Dig-M4
0/5,Sz_Ének-F5
1/1,Sz_E1
1/4,Sz_E4
1/7,Sz_E7
2/1,Sz_M1
tárgyaló,Sz_H1
tesi1,Sz_Tesi1
népt,Néptánc
tesi2,Sz_Tesi2
tesi3,Sz_Tesi3
BVSC,BVSC
Fő:110_10b,Fő:110
Fő:-135,Fő:-135
Fő:27_11c,Fő:27
Fő:42,Fő:42
Fő:138_11b,Fő:138
Fő:229_10c,Fő:229
F:218_10a,F:218
R:E356_12a,R:E356
R:E152,R:E152
R:E153,R:E153
D:F021,D:F021
D:215,D:215
D:F022_11a,D:F022
I:-107_12c,I:-107
I:-108_12b,I:-108
C:57,C:57
D:-103,D:-103
